Title	Abstract	Authors	Publication Date	DOI
Effect of continuous renal replacement therapy on all-cause mortality in COVID-19 patients undergoing invasive mechanical ventilation: a retrospective cohort study	BackgroundFor the coronavirus disease 2019 (COVID-19), critically ill patients had a high mortality rate. We aimed to assess the association between prolonged intermittent renal replacement therapy (PIRRT) and mortality in patients with COVID-19 undergoing invasive mechanical ventilation. MethodsIn this retrospective cohort study, we included all patients with COVID-19 undergoing invasive mechanical ventilation from February 12nd to March 2nd, 2020. All patients were followed until death or March 28th, and all survivors were followed for at least 30 days. ResultsFor 36 hospitalized COVID-19 patients with invasive mechanical ventilation, the mean age was 69.4 ({+/-} 10.8) years, and 30 patients (83.3%) were men. Twenty-two (61.1%) patients received PIRRT (PIRRT group) and 14 cases (38.9%) were managed with conventional strategy (non-PIRRT group). There were no differences in age, sex, comorbidities, complications, treatments and most of the laboratory findings. During median follow-up period of 9.5 (interquartile range 4.3-33.5) days, 13 of 22 (59.1%) patients in the PIRRT group and 11 of 14 (78.6%) patients in the non-PIRRT group died. Kaplan-Meier analysis demonstrated prolonged survival in patients in the PIRRT group compared with that in the non-PIRRT group (P = 0.042). The association between PIRRT and a reduced risk of mortality remained significant in three different models, with adjusted hazard ratios varying from 0.332 to 0.398. Higher levels of IL-2 receptor, TNF-, procalcitonin, prothrombin time, and NT-proBNP were significantly associated with an increased risk of mortality in patients with PIRRT. ConclusionPIRRT may be beneficial for the treatment of COVID-19 patients with invasive mechanical ventilation. Further prospective multicenter studies with larger sample sizes are required.	Yang, Y.; Shi, J.; Ge, S.; Guo, S.; Xing, X.; Wang, Y.; Cheng, A.; Liu, Q.; Li, J.; Ning, Y.; He, F.; Xu, G.	2020-03-20	10.1101/2020.03.16.20036780
Favipiravir versus Arbidol for COVID-19: A Randomized Clinical Trial	BackgroundNo clinically proven effective antiviral strategy exists for the epidemic Coronavirus Disease 2019 (COVID-19). MethodsWe conducted a prospective, randomized, controlled, open-label multicenter trial involving adult patients with COVID-19. Patients were randomly assigned in a 1:1 ratio to receive conventional therapy plus Umifenovir (Arbidol) (200mg*3/day) or Favipiravir (1600mg*2/first day followed by 600mg*2/day) for 10 days. The primary outcome was clinical recovery rate of Day 7. Latency to relief for pyrexia and cough, the rate of auxiliary oxygen therapy (AOT) or noninvasive mechanical ventilation (NMV) were the secondary outcomes. Safety data were collected for 17 days. Results240 enrolled COVID-19 patients underwent randomization; 120 patients were assigned to receive Favipiravir (116 assessed), and 120 to receive Arbidol (120 assessed). Clinical recovery rate of Day 7 does not significantly differ between Favipiravir group (71/116) and Arbidol group (62/120) (P=0.1396, difference of recovery rate: 0.0954; 95% CI: -0.0305 to 0.2213). Favipiravir led to shorter latencies to relief for both pyrexia (difference: 1.70 days, P<0.0001) and cough (difference: 1.75 days, P<0.0001). No difference was observed of AOT or NMV rate (both P>0.05). The most frequently observed Favipiravir-associated adverse event was raised serum uric acid (16/116, OR: 5.52, P=0.0014). ConclusionsAmong patients with COVID-19, Favipiravir, compared to Arbidol, did not significantly improve the clinically recovery rate at Day 7. Favipiravir significantly improved the latency to relief for pyrexia and cough. Adverse effects caused Favipiravir are mild and manageable. This trial is registered with Chictr.org.cn (ChiCTR2000030254).	Chen, C.; Huang, J.; Cheng, Z.; Wu, J.; Chen, S.; Zhang, Y.; Chen, B.; Lu, M.; Luo, Y.; Zhang, J.; Yin, P.; Wang, X.	2020-03-20	10.1101/2020.03.17.20037432
Hydroxychloroquine and azithromycin plus zinc vs hydroxychloroquine and azithromycin alone: outcomes in hospitalized COVID-19 patients	BackgroundCOVID-19 has rapidly emerged as a pandemic infection that has caused significant mortality and economic losses. Potential therapies and means of prophylaxis against COVID-19 are urgently needed to combat this novel infection. As a result of in vitro evidence suggesting zinc sulfate may be efficacious against COVID-19, our hospitals began using zinc sulfate as add-on therapy to hydroxychloroquine and azithromycin. We performed a retrospective observational study to compare hospital outcomes among patients who received hydroxychloroquine and azithromycin plus zinc versus hydroxychloroquine and azithromycin alone. MethodsData was collected from electronic medical records for all patients being treated with admission dates ranging from March 2, 2020 through April 5, 2020. Initial clinical characteristics on presentation, medications given during the hospitalization, and hospital outcomes were recorded. Patients in the study were excluded if they were treated with other investigational medications. ResultsThe addition of zinc sulfate did not impact the length of hospitalization, duration of ventilation, or ICU duration. In univariate analyses, zinc sulfate increased the frequency of patients being discharged home, and decreased the need for ventilation, admission to the ICU, and mortality or transfer to hospice for patients who were never admitted to the ICU. After adjusting for the time at which zinc sulfate was added to our protocol, an increased frequency of being discharged home (OR 1.53, 95% CI 1.12-2.09) reduction in mortality or transfer to hospice remained significant (OR 0.449, 95% CI 0.271-0.744). ConclusionThis study provides the first in vivo evidence that zinc sulfate in combination with hydroxychloroquine may play a role in therapeutic management for COVID-19. 40-word summary: Zinc sulfate added to hydroxychloroquine and azithromycin may improve outcomes among hospitalized patients.	Carlucci, P.; Ahuja, T.; Petrilli, C. M.; Rajagopalan, H.; Jones, S.; Rahimian, J.	2020-05-08	10.1101/2020.05.02.20080036
No evidence of clinical efficacy of hydroxychloroquine in patients hospitalized for COVID-19 infection with oxygen requirement: results of a study using routinely collected data to emulate a target trial	BackgroundTreatments are urgently needed to prevent respiratory failure and deaths from coronavirus disease 2019 (COVID-19). Hydroxychloroquine (HCQ) has received worldwide attention because of positive results from small studies. MethodsWe used data collected from routine care of all adults in 4 French hospitals with documented SARS-CoV-2 pneumonia and requiring oxygen [&ge;] 2 L/min to emulate a target trial aimed at assessing the effectiveness of HCQ at 600 mg/day. The composite primary endpoint was transfer to intensive care unit (ICU) within 7 days from inclusion and/or death from any cause. Analyses were adjusted for confounding factors by inverse probability of treatment weighting. ResultsThis study included 181 patients with SARS-CoV-2 pneumonia; 84 received HCQ within 48 hours of admission (HCQ group) and 97 did not (no-HCQ group). Initial severity was well balanced between the groups. In the weighted analysis, 20.2% patients in the HCQ group were transferred to the ICU or died within 7 days vs 22.1% in the no-HCQ group (16 vs 21 events, relative risk [RR] 0.91, 95% CI 0.47-1.80). In the HCQ group, 2.8% of the patients died within 7 days vs 4.6% in the no-HCQ group (3 vs 4 events, RR 0.61, 95% CI 0.13-2.89), and 27.4% and 24.1%, respectively, developed acute respiratory distress syndrome within 7 days (24 vs 23 events, RR 1.14, 95% CI 0.65-2.00). Eight patients receiving HCQ (9.5%) experienced electrocardiogram modifications requiring HCQ discontinuation. InterpretationThese results do not support the use of HCQ in patients hospitalised for documented SARS-CoV-2-positive hypoxic pneumonia.	Mahevas, M.; Tran, V.-T.; Roumier, M.; Chabrol, A.; Paule, R.; Guillaud, C.; Gallien, S.; Lepeule, R.; Szwebel, T.-A.; Lescure, X.; Schlemmer, F.; Matignon, M.; Khellaf, M.; Crickx, E.; Terrier, B.; Morbieu, C.; Legendre, P.; Dang, J.; Schoindre, Y.; Pawlotski, J.-M.; Michel, M.; Perrodeau, E.; Carlier, N.; Roche, N.; De Lastours, V.; Mouthon, L.; Audureau, E.; Ravaud, P.; Godeau, B.; Costedoat, N.	2020-04-14	10.1101/2020.04.10.20060699
Chloroquine diphosphate in two different dosages as adjunctive therapy of hospitalized patients with severe respiratory syndrome in the context of coronavirus (SARS-CoV-2) infection: Preliminary safety results of a randomized, double-blinded, phase IIb clinical trial (CloroCovid-19 Study)	BackgroundThere is no specific antiviral therapy recommended for the disease caused by SARS-CoV-2 (COVID-19). Recent publications have drawn attention to the possible benefit of chloroquine (CQ). Our study aimed to comprehensively evaluate the safety and efficacy of two different CQ dosages in patients with established severe COVID-19. MethodsWe performed a parallel, double-blinded, randomized, phase IIb clinical trial, aiming to assess safety and efficacy of two different CQ dosages as adjunctive therapy of hospitalized patients with SARS in Manaus, Brazilian Amazon. Eligible participants were allocated to receive orally or via nasogastric tube high dose CQ (600mg CQ twice daily for 10 days or total dose 12g); or low dose CQ (450mg for 5 days, twice daily only on the first day, or total dose 2.7g). In addition, all patients received ceftriaxone and azithromycin. This study was registered with ClinicalTrials.gov, number NCT04323527. FindingsOut of a pre-defined 440 patients sample size, 81 patients were enrolled. The high dosage CQ arm presented more QTc>500ms (18.9%), and a trend toward higher lethality (39%) than the lower dosage. Fatality rate until day 13 was 27% (95%CI=17.9-38.2%), overlapping with the CI of historical data from similar patients not using CQ (95%CI=14.5-19.2%). In 27 patients with paired samples, respiratory secretion at day 4 was negative in only six patients (22%). InterpretationPreliminary findings suggest that the higher CQ dosage (10-day regimen) should not be recommended for COVID-19 treatment because of its potential safety hazards. Such results forced us to prematurely halt patient recruitment to this arm. Given the enormous global push for the use of CQ for COVID-19, results such as the ones found in this trial can provide robust evidence for updated COVID-19 patient management recommendations. FundingThis study was funded by the Government of the Amazonas State, Farmanguinhos (Fiocruz), SUFRAMA, CAPES, FAPEAM, and federal funds granted by a coalition of Brazilian senators. Research in contextO_ST_ABSEvidence before this studyC_ST_ABSBefore the CloroCovid-19 trial began, to our knowledge, there were no published reports of robust clinical studies on the safety and/or efficacy of chloroquine (CQ) and/or hydroxychloroquine (HCQ) for the treatment of COVID-19 during the recent 2020 pandemic. We searched PubMed and also MedRxiv.org (pre-print server for health sciences, without peer review), without any language restrictions and including Chinese publications, for studies published between Dec 2019 and April 5, 2020, using the search terms COVID-19, coronavirus, SARS-Cov-2. We found three non-randomized studies with limited sample sizes in which (1) HCQ use led to a decrease in SARS-Cov-2 detected in respiratory secretions five days after treatment, together with azithromycin (France, 36 patients); (2) HCQ use shortened time to clinical recovery (China, 62 patients); and (3) CQ was superior to control treatment in inhibiting the exacerbation of pneumonia, improving lung imaging findings, and promoting virus-negative conversion and shortening the disease course (China, 100 patients). We found no published studies comparing different dosages of CQ/HCQ and their thorough safety assessment. Added value of this studyIn a larger patient population, we found that a higher dosage of CQ for 10 days presented toxicity red flags, particularly affecting QTc prolongation. The limited sample size recruited so far does not allow to show any benefit regarding treatment efficacy, however the higher fatality associated with the higher dosage by day 13 of follow-up resulted in a premature halting of this arm. This is the first double-blinded, randomized clinical trial addressing different dosages of CQ for the treatment of severe patients with COVID-19 in the absence of a control group using placebo. Due to the impossibility of not using the drug recommended at the national level, we used historical data from the literature to infer comparisons for lethality endpoints. Follow-up until day 28 is ongoing with a larger sample size, in which long-term lethality will be better estimated. Implications of all the available evidenceThe preliminary findings from CloroCovid-19 trial suggest that the higher dosage of CQ (12 g total dose over 10 days) in COVID-19 should not be recommended because of safety concerns regarding QTc prolongation and increased lethality, in the Brazilian population, and more often in older patients in use of drugs such as azithromycin and oseltamivir, which also prolong QTc interval. Among patients randomized to the lower dosage group (5 days of treatment, total dose 2.7 g), given the limited number of patients so far enrolled, it is still not possible to estimate a clear benefit of CQ in patients with severe ARDS. Preliminary data on viral clearance in respiratory secretions in our confirmed cases are also indicative of little effect of the drug at high dosage. More studies initiating CQ prior to the onset of the severe phase of the disease are urgently needed.	Borba, M.; Val, F. d. A.; Sampaio, V. S.; Alexandre, M. A.; Melo, G. C.; Brito, M.; Mourao, M.; Brito Sousa, J. D.; Baia-da-Silva, d.; Guerra, M. V. F.; Hajjar, L.; Pinto, R. C.; Balieiro, A.; Naveca, F. G.; Xavier, M.; Salomao, A.; Siqueira, A.; Schwarzbolt, A.; Croda, J. H. R.; Nogueira, M. L.; Romero, G.; Bassat, Q.; Fontes, C. J.; Albuquerque, B.; Daniel-Ribeiro, C.; Monteiro, W.; Lacerda, M.; CloroCovid-19 Team,  	2020-04-11	10.1101/2020.04.07.20056424
Outcomes of hydroxychloroquine usage in United States veterans hospitalized with Covid-19	BACKGROUNDDespite limited and conflicting data on the use of hydroxychloroquine in patients with Covid-19, the U.S. Food and Drug Administration has authorized the emergency use of this drug when clinical trials are unavailable or infeasible. Hydroxychloroquine, alone or in combination with azithromycin, is being widely used in Covid-19 therapy based on anecdotal and limited observational evidence. METHODSWe performed a retrospective analysis of data from patients hospitalized with confirmed SARS-CoV-2 infection in all United States Veterans Health Administration medical centers until April 11, 2020. Patients were categorized based on their exposure to hydroxychloroquine alone (HC) or with azithromycin (HC+AZ) as treatments in addition to standard supportive management for Covid-19. The two primary outcomes were death and the need for mechanical ventilation. We determined the association between treatment and the primary outcomes using competing risk hazard regression adjusting for clinical characteristics via propensity scores. Discharge and death were taken into account as competing risks and subdistribution hazard ratios are presented. RESULTSA total of 368 patients were evaluated (HC, n=97; HC+AZ, n=113; no HC, n=158). Rates of death in the HC, HC+AZ, and no HC groups were 27.8%, 22.1%, 11.4%, respectively. Rates of ventilation in the HC, HC+AZ, and no HC groups were 13.3%, 6.9%, 14.1%, respectively. Compared to the no HC group, the risk of death from any cause was higher in the HC group (adjusted hazard ratio, 2.61; 95% CI, 1.10 to 6.17; P=0.03) but not in the HC+AZ group (adjusted hazard ratio, 1.14; 95% CI, 0.56 to 2.32; P=0.72). The risk of ventilation was similar in the HC group (adjusted hazard ratio, 1.43; 95% CI, 0.53 to 3.79; P=0.48) and in the HC+AZ group (adjusted hazard ratio, 0.43; 95% CI, 0.16 to 1.12; P=0.09), compared to the no HC group. CONCLUSIONSIn this study, we found no evidence that use of hydroxychloroquine, either with or without azithromycin, reduced the risk of mechanical ventilation in patients hospitalized with Covid-19. An association of increased overall mortality was identified in patients treated with hydroxychloroquine alone. These findings highlight the importance of awaiting the results of ongoing prospective, randomized, controlled studies before widespread adoption of these drugs.	Magagnoli, J.; Narendran, S.; Pereira, F.; Cummings, T.; Hardin, J. W.; Sutton, S. S.; Ambati, J.	2020-04-21	10.1101/2020.04.16.20065920
Safety of hydroxychloroquine, alone and in combination with azithromycin, in light of rapid wide-spread use for COVID-19: a multinational, network cohort and self-controlled case series study	BackgroundHydroxychloroquine has recently received Emergency Use Authorization by the FDA and is currently prescribed in combination with azithromycin for COVID-19 pneumonia. We studied the safety of hydroxychloroquine, alone and in combination with azithromycin. MethodsNew user cohort studies were conducted including 16 severe adverse events (SAEs). Rheumatoid arthritis patients aged 18+ and initiating hydroxychloroquine were compared to those initiating sulfasalazine and followed up over 30 days. Self-controlled case series (SCCS) were conducted to further establish safety in wider populations. Separately, SAEs associated with hydroxychloroquine-azithromycin (compared to hydroxychloroquine-amoxicillin) were studied. Data comprised 14 sources of claims data or electronic medical records from Germany, Japan, Netherlands, Spain, UK, and USA. Propensity score stratification and calibration using negative control outcomes were used to address confounding. Cox models were fitted to estimate calibrated hazard ratios (CalHRs) according to drug use. Estimates were pooled where I2<40%. ResultsOverall, 956,374 and 310,350 users of hydroxychloroquine and sulfasalazine, and 323,122 and 351,956 users of hydroxychloroquine-azithromycin and hydroxychloroquine-amoxicillin were included. No excess risk of SAEs was identified when 30-day hydroxychloroquine and sulfasalazine use were compared. SCCS confirmed these findings. However, when azithromycin was added to hydroxychloroquine, we observed an increased risk of 30-day cardiovascular mortality (CalHR2.19 [1.22-3.94]), chest pain/angina (CalHR 1.15 [95% CI 1.05-1.26]), and heart failure (CalHR 1.22 [95% CI 1.02-1.45]) ConclusionsShort-term hydroxychloroquine treatment is safe, but addition of azithromycin may induce heart failure and cardiovascular mortality, potentially due to synergistic effects on QT length. We call for caution if such combination is to be used in the management of Covid-19. Trial registration numberRegistered with EU PAS; Reference number EUPAS34497 (http://www.encepp.eu/encepp/viewResource.htm?id=34498). The full study protocol and analysis source code can be found at https://github.com/ohdsi-studies/Covid19EstimationHydroxychloroquine. Funding sourcesThis research received partial support from the National Institute for Health Research (NIHR) Oxford Biomedical Research Centre (BRC) and Senior Research Fellowship (DPA), US National Institutes of Health, Janssen Research & Development, IQVIA, and by a grant from the Korea Health Technology R&D Project through the Korea Health Industry Development Institute (KHIDI), funded by the Ministry of Health & Welfare, Republic of Korea [grant number: HI16C0992]. Personal funding included Versus Arthritis [21605] (JL), MRC-DTP [MR/K501256/1] (JL), MRC and FAME (APU). The European Health Data & Evidence Network has received funding from the Innovative Medicines Initiative 2 Joint Undertaking (JU) under grant agreement No 806968. The JU receives support from the European Unions Horizon 2020 research and innovation programme and EFPIA. No funders had a direct role in this study. The views and opinions expressed are those of the authors and do not necessarily reflect those of the Clinician Scientist Award programme, NIHR, NHS or the Department of Health, England.	Lane, J. C. E.; Weaver, J.; Kostka, K.; Duarte-Salles, T.; Abrahao, M. T. F.; Alghoul, H.; Alser, O.; Alshammari, T. M.; Biedermann, P.; Burn, E.; Casajust, P.; Conover, M.; Culhane, A. C.; Davydov, A.; DuVall, S. L.; Dymshyts, D.; Fernandez Bertolin, S.; Fister, K.; Hardin, J.; Hester, L.; Hripcsak, G.; Kent, S.; Khosla, S.; Kolovos, S.; Lambert, C. G.; ver der Lei, J.; Londhe, A. A.; Lynch, K. E.; Makadia, R.; Margulis, A. V.; Matheny, M. E.; Mehta, P.; Morales, D. R.; Morgan-Stewart, H.; Mosseveld, M.; Newby, D.; Nyberg, F.; Ostropolets, A.; Park, R. W.; Prats-Uribe, A.; Rao, G. A.; Reich, 	2020-04-10	10.1101/2020.04.08.20054551
30-day mortality in patients hospitalized with COVID-19 during the first wave of the Italian epidemic: a prospective cohort study	BackgroundItaly was the first European country hit by the COVID-19 pandemic and has the highest number of recorded COVID-19 deaths in Europe. MethodsThis prospective cohort study of the correlates of the risk of death in COVID-19 patients was conducted at the Infectious Diseases and Intensive Care units of Luigi Sacco Hospital, Milan, Italy. The clinical characteristics of all the COVID-19 patients hospitalised in the early days of the epidemic (21 February -19 March 2020) were recorded upon admission, and the time-dependent probability of death was evaluated using the Kaplan-Meier method (censored as of 20 April 2020). Cox proportional hazard models were used to assess the factors independently associated with the risk of death. ResultsForty-eight (20.6%) of the 233 patients followed up for a median of 40 days (interquartile range 33-47) died during the follow-up. Most were males (69.1%) and their median age was 61 years (IQR 50-72). The time-dependent probability of death was 19.7% (95% CI 14.6-24.9%) 30 days after hospital admission. Age (adjusted hazard ratio [aHR] 2.08, 95% CI 1.48-2.92 per ten years more) and obesity (aHR 3.04, 95% CI 1.42-6.49) were independently associated with an increased risk of death, which was also associated with critical disease (aHR 8.26, 95% CI 1.41-48.29), C-reactive protein levels (aHR 1.17, 95% CI 1.02-1.35 per 50 mg/L more) and creatinine kinase levels above 185 U/L (aHR 2.58, 95% CI 1.37-4.87) upon admission. ConclusionsCase-fatality rate of patients hospitalized with COVID-19 in the early days of the Italian epidemic was about 20%. Our study adds evidence to the notion that older age, obesity and more advanced illness are factors associated to an increased risk of death among patients hospitalized with COVID-19.	Giacomelli, A.; Ridolfo, A. L.; Milazzo, L.; Oreni, L.; Bernacchia, D.; Siano, M.; Bonazzetti, C.; Schiuma, M.; Covizzi, A.; Passerini, M.; Piscaglia, M.; Coen, M.; Gubertini, G.; Rizzardini, G.; Cogliati, C.; Brambilla, A. M.; Colombo, R.; Castelli, A.; Rech, R.; Riva, A.; Torre, A.; Meroni, L.; Rusconi, S.; Antinori, S.; Galli, M.	2020-05-06	10.1101/2020.05.02.20088336
Hydroxychloroquine is associated with slower viral clearance in clinical COVID-19 patients with mild to moderate disease: A retrospective study	BackgroundThere is conflicting data regarding the use of hydroxychloroquine (HCQ) in COVID-19 hospitalized patients ObjectiveTo assess the efficacy of HCQ in increasing SARS-CoV-2 viral clearance DesignRetrospective observational study SettingCleveland Clinic Abu Dhabi ParticipantsHospitalized adult patients with confirmed SARS-CoV-2 infection InterventionNone MeasurementsThe primary outcome was the time from a confirmed positive nasopharyngeal swab to turn negative. A negative nasopharyngeal swab conversion was defined as a confirmed SARS-CoV-2 case followed by two negative results using RT-PCR assay with samples obtained 24 hours apart Results34 confirmed COVID-19 patients were included. Nineteen (55.9%) patients presented with symptoms, and 14 (41.2%) had pneumonia. Only 21 (61.8%) patients received HCQ. The time to SARS-CoV-2 negativity nasopharyngeal test was significantly longer in patients who received HCQ compared to those who did not receive HCQ (17 [13-21] vs. 10 [4-13] days, p=0.023). HCQ was independently associated with time to negativity test after adjustment for potential confounders (symptoms, pneumonia or oxygen therapy) in multivariable linear regression analysis. On day 14, 47.8% (14/23) patients tested negative in the HCQ group compared to 90.9% (10/11) patients who did not receive HCQ (p=0.016). LimitationsSmall sample size and retrospective design with a potential risk of selection bias ConclusionHCQ was associated with a slower viral clearance in COVID-19 patients with mild to moderate disease. Data from ongoing randomized clinical trials with HCQ should provide a definitive answer regarding the efficacy and safety of this treatment.	Mallat, J.; Hamed, F.; Balkis, M.; Mohamed, M. A.; Mooty, M.; Malik, A.; Nusair, A.; Bonilla, F.	2020-05-02	10.1101/2020.04.27.20082180
QT Interval Prolongation and Torsade De Pointes in Patients with COVID-19 treated with Hydroxychloroquine/Azithromycin	BackgroundThe emergence of the COVID-19 pandemic has resulted in over two million affected and over 150 thousand deaths to date. There is no known effective therapy for the disease. Initial reports suggesting the potential benefit of Hydroxychloroquine/Azithromycin (HY/AZ) have resulted in massive adoption of this combination worldwide. However, while the true efficacy of this regimen is unknown, initial reports have raised concerns regarding the potential risk of QT prolongation and induction of torsade de pointes (TdP). MethodsThis is a multicenter retrospective study of 251 patients with COVID-19 treated with HY/AZ. We reviewed ECG tracings from baseline and until 3 days after completion of therapy to determine the progression of QTc and incidence of arrhythmia and mortality. ResultsQTc prolonged in parallel with increasing drug exposure and incompletely shortened after its completion. Extreme new QTc prolongation to > 500 ms, a known marker of high risk for TdP had developed in 15.9% of patients. One patient developed TdP requiring emergent cardioversion. Seven patients required premature termination of therapy. The baseline QTc of patients exhibiting QTc prolongation of > 60 ms was normal. ConclusionThe combination of HY/AZ significantly prolongs the QTc in patients with COVID-19. This prolongation may be responsible for life threating arrhythmia in the form of TdP. This risk mandates careful consideration of HY/AZ therapy in lights of its unproven efficacy. Strict QTc monitoring should be performed if the regimen is given.	Chorin, E.; Wadhwani, L.; Magnani, S.; Dai, M.; Shulman, E.; Nadeau-Routhier, C.; Knots, R.; Bar-Cohen, R.; Kogan, E.; Barbhaiya, C.; Aizer, A.; Holmes, D.; Bernstein, S.; Spinelli, M.; Park, D. S.; Carugo, S.; Chinitz, L. A.; Jankelosn, L.	2020-05-01	10.1101/2020.04.27.20074583
Preliminary evidence from a multicenter prospective observational study of the safety and efficacy of chloroquine for the treatment of COVID-19	BackgroundEffective therapies are urgently needed for the SARS-CoV-2 pandemic. Chloroquine has been proved to have antiviral effect against coronavirus in vitro. In this study, we aimed to assess the efficacy and safety of chloroquine with different doses in COVID-19. MethodIn this multicenter prospective observational study, we enrolled patients older than 18 years old with confirmed SARS-CoV-2 infection excluding critical cases from 12 hospitals in Guangdong and Hubei Provinces. Eligible patients received chloroquine phosphate 500mg, orally, once (half dose) or twice (full dose) daily. Patients treated with non-chloroquine therapy were included as historical controls. The primary endpoint is the time to undetectable viral RNA. Secondary outcomes include the proportion of patients with undetectable viral RNA by day 10 and 14, hospitalization time, duration of fever, and adverse events. ResultsA total of 197 patients completed chloroquine treatment, and 176 patients were included as historical controls. The median time to achieve an undetectable viral RNA was shorter in chloroquine than in non-chloroquine (absolute difference in medians -6.0 days; 95% CI -6.0 to -4.0). The duration of fever is shorter in chloroquine (geometric mean ratio 0.6; 95% CI 0.5 to 0.8). No serious adverse events were observed in the chloroquine group. Patients treated with half dose experienced lower rate of adverse events than with full dose. ConclusionsAlthough randomised trials are needed for further evaluation, this study provides evidence for safety and efficacy of chloroquine in COVID-19 and suggests that chloroquine can be a cost-effective therapy for combating 102 the COVID-19 pandemic.	Huang, M.; Li, M.; Xiao, F.; Liang, J.; Pang, P.; Tang, T.; Liu, S.; Chen, B.; Shu, J.; You, Y.; Li, Y.; Tang, M.; Zhou, J.; Jiang, G.; Xiang, J.; Hong, W.; He, S.; Wang, Z.; Feng, J.; Lin, C.; Ye, Y.; Wu, Z.; Li, Y.; Zhong, B.; Sun, R.; Hong, Z.; Liu, J.; Chen, H.; Wang, X.; Li, Z.; Pei, D.; Tian, L.; Xia, J.; Jiang, S.; Zhong, N.; Shan, H.	2020-05-04	10.1101/2020.04.26.20081059
Hydroxychloroquine and Azithromycin as a treatment of COVID-19: preliminary results of an open-label non-randomized clinical trial	BackgroundChloroquine and hydroxychloroquine have been found to be efficient on SARS-CoV-2, and reported to be efficient in Chinese COV-19 patients. We evaluate the role of hydroxychloroquine on respiratory viral loads. Patients and methodsPatients were included in a single arm protocol to receive 600mg of hydroxychloroquine daily and their viral load in nasal swabs was tested daily. Depending on their clinical presentation, azithromycin was added to the treatment. Untreated patients from another center and cases refusing the protocol were included as negative controls. Presence and absence of virus at Day6-post inclusion was considered the end point. ResultsTwenty cases were treated in this study and showed a significant reduction of the viral carriage at D6-post inclusion compared to controls, and much lower average carrying duration than reported of untreated patients in the literature. Azithromycin added to hydroxychloroquine was significantly more efficient for virus elimination. ConclusionHydroxychloroquine is significantly associated with viral load reduction/disappearance in COVID-19 patients and its effect is reinforced by azithromycin.	GAUTRET, P.; LAGIER, J. C.; PAROLA, P.; HOANG, V. T.; MEDDED, L.; MAILHE, M.; DOUDIER, B.; COURJON, J.; GIORDANENGO, V.; ESTEVES VIEIRA, V.; TISSOT DUPONT, H.; HONORE, S.; COLSON, P.; CHABRIERE, E.; LA SCOLA, B.; ROLAIN, J. M.; BROUQUI, P.; RAOULT, D.	2020-03-20	10.1101/2020.03.16.20037135
